"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5129","Standard user can complete successful purchase","Swag Labs UI","2025-11-20","passed","2025-11-20","","E2E Purchase Flow","PurchaseTests","Standard_user_can_complete_successful_purchase"
"","4920","Standard user can complete successful purchase","Swag Labs UI","2025-11-20","passed","2025-11-20","","E2E Purchase Flow","PurchaseTests","Standard_user_can_complete_successful_purchase"
